"","TWEETS"
"5252","yaar aap ki pedaish argentina ki to nahi hai ? ya yeh sindh ke kisi gaoon ka naam hai?"
"5253","haha. vr sets do give you astronomical headaches tho, if you use it too much. kabhi ke baar neend bhi ni aati."
"5254","wo bhi din the ke tera zikar tha sarmaya zesat ab tera naam bhi leti hun to dil dukhta hai"
"5255","haan ji aab tu gutter khulwamy ke b unhein bnda nhi bulwana pherhyga ayman ju hogi"
"5256","mobile ke sath panga kiya huwa ha :p"
"5257","islamabad ke burgers ziada tar roza rakhte hain"
"5258","zulfiqar ali - qurban mein in ki bakhshish ke"
"5259","- dunya ke ey musafir by waqas mir"
"5260","aaj janay ke zid na karo"
"5261","brrey hee koi fix kism ke followers hain nor increase neither decrease.."
"5262","jb mohallay walo ke doorbell bjaa kr zinda bhaag janaa"
"5263","snacks ke naam pe dhabba."
"5264","ghar betho aur ammi ke help karo"
"5265","onek onek miss kori bhon ke,,,"
"5266","jee mujhay ammi ke liye umray ka ticket bhi chahiye tha..."
"5267","khi:chief justice sindh ke betay ke ighwa main mulawis mulziman ki ittila daine walay ko 25 lakh rupe inaam dya jaye ga,tarjuman rangers"
"5268","haha..kia re 80crs budha fan? megastar salman ka 300 cr movie ke nam leyname tere sharam ani chaya.. sultan= 4*fan=320. haha."
"5269","haha..kia re 80crs budha fan? megastar salman ka 300 cr movie ke nam leyname tere sharam ani chaya.. sultan= 4*fan=320."
"5270","hahaha tarjuma: da indwaanay ao shomlo khpalo ke lagee kho mung ta ye chal jor karay de."
"5271","yahan say pata chalta ha ak common admi ke kia value ha aur ak vip ke ... ."
"5272","kalke messi full match khelbe kina ke jani ore sara khela pansha lage"
"5273","bukhar qisam ke. hahaha."
"5274","kia bongi mari aap ny??"
"5275","aa'iye aa'iye aap bhe aa'iye. aap ke baghair yeh mukammal ho bhe kaise sakti thi."
"5276","sab bacho ko eid ke din rung barungay ghubbaray milain ge, fikar not."
"5277","ao kana kha pa ke khushala de."
"5278","eid ke din ghubbaray ley doon ga fikar not."
"5279","team smq ko ye baat samjh aa jani chahye pubjab main ik ke baad agar respect hai , kisi ko crowd milta hai tu wo ch sarwar h"
"5280","team smq ko ye baat samjh aa jani chahye pubjab main ik ke baad agar respect hai , kisi ko crowd milta hai tu wo ch sarwar hai koi pir nahi"
"5281","tmr khota kalke ke jeno bollo"
"5282","allah pak ap ke ye khowaish pori karay ameen ameen"
"5283","allah swt bb ke darajaat buland karay ameen"
"5284","kya ap ke tooth paste mei namak ha?? jii bilkul chahea apko yaara bhai pakistan maan bohat namk ha logon k"
"5285","paid teams ka nuksan hi yehi hai jab inke leaders ko criticize karo paid log pti ke peechay par jayenge"
"5286","ke apu eta?"
"5287","ke bojena?"
"5288","ye batayein ke qandeel baloch ke saath kaun kaun se fiqh kay molvi selfie banwa saktay hain ? 1/2"
"5289","2 glass rooh afza ke piyo tou pait bhar jata hai, ajeeb scene hai aftari ka bhi.."
"5290","beraking news. 1 phir sy control line pe fouj ki faireng kuch shehriyon ke zakhmi hone ki ittilaat."
"5291","neez ye k kya molvi ke saath selfie lenay se qandeelbaloch ka roza toot jaye ga ya sirf makruh qarar diya jaye ga?"
"5292","so ap logo ki bhabi says k kaheen bahar aftaari pe chalna hai. allah ke naam pe kch detay jao ?"
"5293","phopho ke ghar kuch ziada nai reh rai aajakl tum, hain? -_^"
"5294","yeh jo interaction kar ke tweet delete kar dete hain na, yeh bhi ek wajah hai neend na aanay ki.."
"5295","hum sub hasb e zaroorat behropiye hain, hamare andar kai log, kai chehre rehte hain, jo waqt aur zaroorat ke mutabiq badalte rehte hain."""
"5296","mainay aik khabr suni hai abhi. ke aik maulana saab larki ke sath selfiyan lete rehe. :d and shaadi ka paighaam..."
"5297","koi baat nhi bolenge nah zaroor kehe ke hum sb ko baato me laga ke khud sohgaye"
"5298","mian nawaz sharef ke samne ek choti si bachi tehlka macha dia in urdu hindi - via"
"5299","pti ke molvi zannaa ko halaal karar dete huye. :d .. apnay leader ko pehchano zalimo."
"5300","sorry dosto! muje maaf karna plz to all of u. ap soch rahe honge ke mene ap logo se mafi kun mangi. kun..."
"5301","tumhein batane ke liye ke abhi tumhein libra ke haathon mazeed tung hona hai."
"5302","fuzon - ankhon ke saagar"
"5303","ap kl hum sb ko baato me laga ke khub sohgaye kyu mai bht sd ho mera apse cht karne ka kitna maan tah"
"5304","w kl rat ko hum sb ko bato me laga ke sohgaye"
"5305","murree ka mosam b emran hashmi ke movie ke tarah ka hai kabhi b baras hai.."
"5306","sar e aam with irar ul hassan (2016) railway minister khwaja saad rafiq ke naam"
"5307","mufti sb.....agar yehi muahida mn ap ki beti ke sath karna chahoon tu is bare mn islam kya kehta he ?........pls..."
"5308","ramzan mai na bijle hai na pani shiddat ke garmi mai in logon ne ibadat pa b pabundi lga de khud ja k uk beth gai"
"5309","kyun re, kyun re kar gaya tanha mujhe aise kyun re, kyun re kanch kay lamhon ke reh gaye reh gaye churay"
"5310","playlist ke puranay gaanon wali raat hai aaj"
"5311","(allah pak) allama hamza ali qadri sahab ko umre daraaz ata farmaye mukammal sehat ke sath .aameen"
"5312","she says that she told me ""bahir jaa ke dekho"" and i replied ""kal dekhain gai"""
"5313","sbhi pe jo barasti hay, kisi ke waaste rehmet, kisi ke waaste zehmet, sbhi ke waaste yaqsaan."
"5314","jhoot ke bare mai bi bht farmaya gya hai zara wo bi kabi zehmat krke dekh le.."
"5315","wiladat e imam hasan (as) mubarak imam sadiq (as) se ''hayya 'alaa khairil 'amal"" ke maani ke baare..."
"5316","no no real tabdeeli tu usdin aye the jab sms ne 25 crore wapis kiye anp pashtunun ke khun ki dushman ghaddar"
"5317","so now cj sindh get to know how it feels when someone close got disappear, allah kareem,ye karachi ke laapta afraad ke badwaa!"
"5318","dosron ko sehri ke liye uthati hun aur apnay ghar walon ko uthana bhool geyi"
"5319","jeetey jee sang zani rahay ehl-e-watan, yeh alag baat hai dafnain gay eizaz ke saath."
"5320","hamid mir.....tumhari ragon mn indian hindoon ka khoon dor raha he.....kiun ke tumhara baap jo india he.....ye..."
"5321","ye rung ke nam pr kya vulgarity philai ja ri hai, girls &amp; boys jumping into pools 2gthr, cmon boys and girls maintain distance &amp; respect."
"5322","- kahun kis se main ke kya hai, shab-e-gham buri bala hai.."
"5323","kanjri ke bache.......tera me moo tor doon ga.....agar too ne dobara pak army ke bare me nazeba zuban istimal..."
"5324","migaya woh jo chura ke meri ankhon se nindiya le gaya"
"5325","mulvi tashdud ke baat kre tbi awam ko etheraz mulvi pyar mohbt bhanty tbi awam ka ghusa :-p"
"5326","dunia ne teri yaad sa begaana kar diya, tujh sa bhi dil-fareb hain gham rozgaar ke!"
"5327","doc ban sakte hain 10lac per year de ke per insan banna mushkil hai"
"5328","ashiqui ke liye........"
"5329","jaise fuddu topics, raat ke andhere mein hee chal sakte hain kya?"
"5330","teaser lazabab. 15 times dekha youtube mey."
"5331","ek din mey tumhare sath asa barish mey bhijkar milna chati hu...."
"5332","mirchi lagi to mey kya mario."
"5333","rahul or kya dikha sakte ho. rid mey nahi jayege. samje."
"5334","reee.... trying... joldi e shikhe jabo :3 .. digital mey tate ki.. cooking vlw jani :3"
"5335","sob mey ray ake tai na hi joy"
"5336","duniya mey mery class fellows sy zayda dumb koi nai"
"5337","raat youn dil mey tere! classic!"
"5338","sir je peshawar mor interchange a great piece of work laiken barish mey pani jamma ho jata hay tell contractor to it please"
"5339","aap ny apni graduation mey nai bulaya , isliye bhool jaye k paisay"
"5340","mey badly na leti"
"5341","haan agar parha hta tu zaada ly leti degree asaan nai mey bht laiq hn"
"5342","yaar ye 3 gpa waaly kya darmiaan mey atkey hain, na koi nalaiq kehta hai, na laiq -.-"
"5343","mey"
"5344","pe saad rafique apny walid sahb k barry mey biyan de rahy hyn"
"5345","jab umrah k liye jao tou duaoun mey yad rakhna . sub anons ke liye dua karonga"
"5346","eta dekho , chhele mosh naki aajkal doodh dichhe .... news er mosh aar picture er moshti ki ek e byakti ? :-p..."
"5347","hey, do you love me ?? why do you love me ?? aami ektu dushto taay. tomar ki dushto chhele dorkaar chhilo. aagei deke nita ji."
"5348","eii chhele ta bhelbhele ta - episode 83 (june 21, 2016) full episode added ( zee bangla) download link :-"
"5349","eii chhele ta bhelbhele ta - episode 82 (june 20, 2016) full episode added ( zee bangla) download link :-"
"5350","eii chhele ta bhelbhele ta - episode 81 (june 19, 2016) full episode added ( zee bangla) download link :-"
"5351","eii chhele ta bhelbhele ta - episode 80 (june 18, 2016) full episode added ( zee bangla) download link :-"
"5352","eii chhele ta bhelbhele ta - episode 79 (june 17, 2016) full episode added ( zee bangla) download link :-"
"5353","eii chhele ta bhelbhele ta - episode 78 (june 16, 2016) full episode added ( zee bangla) download link :-"
"5354","eii chhele ta bhelbhele ta - episode 77 (june 15, 2016) full episode added ( zee bangla) download link :-"
"5355","eii chhele ta bhelbhele ta - episode 76 (june 14, 2016) full episode added ( zee bangla) download link :-"
"5356","eii chhele ta bhelbhele ta - episode 75 (june 13, 2016) full episode added ( zee bangla) download link :-"
"5357","ishh chele hoye vute voy? ?"
"5358","ekta tym e je chele take india r coach bad dyechilo team theke aj sei india team er coach bachai krche! definatn of achvmnt !"
"5359","lol namdha chele"
"5360","it's hard to believe that i can't celebrate the day with u dad.. because i am here and cannot came for the exam....."
"5361","i think chele ta pore jachilo bodhoi....."
"5362","haha.... but ami chele hoyeo kono chance nei ;) ;) but i respect the girl a lot"
"5363","aap swamy ji k chele ho kya? nationality bjp decide nahi"
"5364","ami jatah sheyta ami agree"
"5365",": ami vabchi amar vodafone er sim ta replace kore 4g sim niye nebo.. tui jadi chas 4g sim nite paris but khub kharoch..3g e valo."
"5366","na temon bapar noy..ami toh 4g slot e aircel 3g sim e use korchi 3g pack bhorei.3g mode e rakhi.nahole 4g te nimese ses hoye jai."
"5367","yes r8 you r"" ami akdom pagol "". ..this is me...."
"5368","rittika ami r parchhina.ki korbo bole dao. amar onno kono girl k valo lage na.amar sudhu tomake valo lage"
"5369","ami pore dekhlam jukebox er niche lekha gulo.. song names, singers &amp; instruments &amp; instrument detail dewa acche just."
"5370","good morning dear.... ami valo achi... what about u?"
"5371","audio with lyrics dekhlam to roychhe but ami to play korleo lyrics kichhu parbona ei phone theke. tui dekhis ektu."
"5372","ami gato 2din dhore mtv ar mtvindies e dekhchi.. aj anek ta frequent hoyeche.. sokal theke akhono obdhi anekbar dekhlam."
"5373",": ohh ami vablam sudhu audio ta.. thik acche dekhbo.. antato tseries er puro lyrics ta dewa uchit.."
"5374","na re.. ami check korechi..lyrics er website gulo even youtube eo kothao nei :'( dekhi, tseries lyrics video post korle ki kore.."
"5375","ami as6i"
"5376","i added a video to a playlist ami bose achi"
"5377","ami bose achi: via"
"5378","ami last"
"5379","r ami fan achhi. fan chhilam ar fan ee thakbo. tabole ke kake slung dilo seta niye jhamela, etai ki oder job ????"
"5380","so plzzzz jara kichhu na jene bhul bhaal bokechhilo tader sathe ami ment hote chaai na !! eta onekei jaane j ami all celebs fan"
"5381","day-167 didi ami tomye khub khub miss korchi tumi ki bojho na? khub valobasi tomye."
"5382","bessha biya korlaammmm khaliii jeet er chudaa khaite chaiii aijjonei jeet re ami dekte pai na"
"5383","tumi jano fifa khelar chokkore ami aaj obdi koto controller raager chote chure bhenge felechi"
"5384","akkians, vote for akshay kumar"
"5385","why dont clash akshay kumar on non holiday with or scare still there??"
"5386","pvr director's cut ambience delhi (ticket rates) 2200/- 400/- 250/- this is actual truth of box off"
"5387","phhhaaat!poem toem amar hoena amae!!"
"5388","amar 16gb-o enough. expandable to oto prblm nei. ha re dekhi... jodi possiblehoy to etai nebo.phone kena mohenjo...khub chape achhi."
"5389","thikachhe :-) amar phone ta tar modhye kena hoye gele aaro bhalo hbe:-) onek kichhu khub miss korchhi..."
"5390","dear we spend almost 5-6 hrs/daily defending bjp ignoring our family ignoring our health &amp; now a bjp min is br"
"5391","our beloved leader ms.mausam noor- m.p.mother late ms.ruby noor (ex.mla.sujapur malda) amar rahe."
"5392","amar bangla !"
"5393","anjan &amp; princy both of suar er bachcha aal faal info spread krechhilo amar name a. bhulini or bhaater ktha amar sommondhe."
"5394","sedin twitter a oi anjan &amp; princy amar sathe jerom behave krlo taar theke jeet fans ra amar sathe bhalo behave kore. (1/2)"
"5395","bhabi ekbsr tomar gude amar mal felte chai. plz"
"5396","amar bou ta akta magi re attto chuda chudi amr 4 inch dia bt bou jeet err chuda khaite chai. jeet to baccha"
"5397",":) :) :)achcha amr 1doubt achhe:3g/4g use gele ki sim ta ke upgrade kranor proyojon hoy?naki net pack recharge krlei hlo?"
"5398","amr ta dekhecho? vote koro!!"
"5399","tumi kamon acho"
"5400","oww..it happens kono baje incident ba trauma hole toh asei ..stressed hoyona be strong poem lekho tumi toh allrounder"
"5401","boss tumi to just fatiye dile really you are a aaro chaii erokom"
"5402","bhalo...tumi?"
"5403","ei tumi egulo dekhecho ? park street , esplanade e sell hocche dhele"
"5404","are yaar tumi tq tomar kache rolex thakbe na to ki amar kache thakbe , amio majhe majhe ekta pakka idiot er moto question kori"
"5405","tumi ki roz 1 am er moddhei ghumiye poro ?"
"5406","dev,apni koyel er sathe abar kobe film korchen? amra bolo na tumi amar er moto eka soul made romantic film dekhte chai :-)"
"5407","ki kircho akhon ?? tomar sathe vikram chatterjee r edit ta khub bhalo lagche ...just made for each other"
"5408","tomar sorir kemon? paa ta thik ache to?..hope u r fine take care..be safe shoot carefully &amp; come back soon! &lt;3"
"5409","tomar programme is always good.....khub valo geyecho :d"
"5410","dc"
"5411","vacation e jacchi. tomar ""world's best boyfriend"" book will accompany me !"
"5412","bondhu tomar sathe ktha ache plz on how"
"5413","good morning dada. film a bapok acting tomar. love it. lotz of love."
"5414","shubho shokal sona di..ajj ei sunday tomar khub valo katuk:)"
"5415","tq tomar kache rolex er watch ache ?"
"5416","tomar profile pic ta darun edit just fatia..aar ha congrats tomar graduate hoar jonno..all the best for ur future .."
"5417","extraordinary adv. booking of around 13-15cr for sun it can cross 45cr tmr n can challenge highest grosser of all tm"
"5418","ora amake antidev mone kre. koi... jeet dar fans ra to amake antijeet akbaro blenaa."
"5419","plzzz amake sanhita, ranjana, pritu, pikai, jyotirmoy, bidisha &amp; princy eder sathe amake ment krbenaa"
"5420","sayan da tomake akjoner number dite chai ki bhabe debo bolte paro"
"5421","finally watch teaser di tomake darun lagche, jst teser dekhei fida, puro film dekhle to mad hoyei jabo"
"5422","tomake kew nibew na!"
"5423","watched yesterday. darun mishti lagchhilo tomake. lotz of love. take care."
"5424","""bhalobashi shudhu tomake.. i love you,love you my love"". enjoy title track in"
"5425","jotodin jche tmk aro handsme,dashing,hot,cute lgche&lt;3&lt;3"
"5426","gd.mn nd hv a beautiful day.happy sunday.ki hvy lgche tmk pic guloi."
"5427","jaa jaa tui o ki mone rakhni"
"5428","jmn"
"5429","'ke tui bol' is a lovely passionate song &amp; my most favourite of featuring are at their"
"5430","brand new romantic track from 'ke tui bol' featuring and breaking tomorow..!!"
"5431","hope you guys are enjoying 'ke tui bol' from"
"5432","tahole toh valoi!ha re..amio sei ashai acchi tor jeno ph kena ta valoi valoi druto uddhar hoye jai..chap nio na thik hoye jabe:)"
"5433","tor rate tow berei aache.. aar koto barabi.??"
"5434","sanchari eta tor jonno"
"5435","nabchee ta kemon holo..? salban er ra kemon perform korlo? sunlam sakoler cheye tor performance tai na ki best hoyeche?"
"5436","dallas gunman learned tactics at texas self-defence school: the gunman who killed five police officers at a protest march received tr..."
"5437","ohh ki holo re tr abr?? take care re... r ota kno prob nei.tr sorir thik hok thn jne bolis!! no prob ...!!"
"5438","toke je duto link dilam oi duto dekh..."
"5439","andrson fightr to tke chalnge...why say! arindam india"
"5440","bisesh karonboshoto amar mobile er somosto contacts hariye geche. jara jara amar songe jogajog rakhte chan/chao..."
"5441","aaj mon cheyeche ami hariye jabo, ami hariye jabo tomar shathe &lt;3"
"5442","ami ideal er naa."
"5443","are mia ami jongi der kotha boltesi...koek tar school ideal!"
"5444","ctg kobe jaba? ami abar jete parbo na car driving"
"5445","ami janle ki ar manush boltam"
"5446","feeling amrei ami dekhi :p :p watching average aslam at famous point"
"5447","tor moto ami ekta bondhu chai via"
"5448","tor moto ami ekta bondhu chai"
"5449","kmon aso janu?? twitter a kno aso nah tumi ami tomay always miss kore"
"5450","listening to ami prothom valobeshe by tahsan 2016"
"5451","oh. ami unfollow marchi koyekdin aage :p"
"5452","ami nodi ka prosno kore dekhachi tomer ato govirota kano, nodi ameka uttor daye jake atota apon mone korechi sai to ameka chara chola gacha."
"5453","ami 2gb te kheli lol. 4gb hoile bhalo"
"5454","hmm, ami bashay thaki. amar jonne na"
"5455",":p here to ami bohut din twitter'e dekhina. fb diya post kore :p"
"5456","bro, ami kukur! d-cafe dhanmondi"
"5457","tui weed kheye matal r ami tor raner chipay matha dukai vodar rosh kheye matal hobo"
"5458","oh, ami vablam dure kothao geche"
"5459","umm ami oirum asi"
"5460","ta ."
"5461","haa amar nam ta likha tai onek valo lage"
"5462","i didn't know amar nani amar ma er cheye o beshi joss! :/ yesterday she was like, ''accha tomar bondhu tar chobi..."
"5463","never ignore the cancer symptoms"
"5464","amar khalur sathe :) khalu bole jaikoro but biyan kintu valo hoite hobe :d"
"5465","amar valo lagse"
"5466","listen to amar nishitho raater badol dhara by sahanabajpaie on"
"5467","watching bangla eid natok 2016 | ""amar iccha kore na"" | mosharraf karim | shokh"
"5468","amar'tar service onek valo."
"5469","after ^_^ sultan dekhtei hoy....afterall amar title movie ;) watching sultan"
"5470","hm, ar amar 23ta minimum 18 tai pujar vitor hoiche :("
"5471","amar vabi hot sexy jake cudlam kub moja"
"5472","vau amr e dike kono poke stop nai kn kono mohot pran bekti jodi eta r uttor jaben ektujanan.. playing pokmon go"
"5473","tumr day 11 november r amr ta 10..."
"5474","full version software download site. its free for all. cheak it now.........."
"5475","lyf e 1st clg e class..babtei valo lagse..clg nia amr internet ta onk age thekei,,but akhn"
"5476","misti didi vai ra amr....."
"5477","amr ki hobe??"
"5478","allah ato feeling kano diyese amk ? atto abeg kano sudhu amr akar e. i am soo selfish i know... but!"
"5479","chuing gum er moto chuse tor vodar nona pani chuse khai chotmaranj sona amr"
"5480","ore amr nosta chodani magi re tor jamata pagla kuttar moto tene chire olan a tel lagai gorom dhoner gorom choda di olan a"
"5481","amr facebook temon use kora hoy na. tai add korinai."
"5482","i liked a video shei tumi - ayub bacchu with taposh : wind of change [ pre-season ] at gaan bangla tv"
"5483","ayub bachchu sei tumi cholo bodle jai: via"
"5484","i liked a video from tumi chiley by shochi shams | bangla new song | eid song 2016 |"
"5485","bhalo bhalo na duitai lol. tumi?"
"5486","my first song on listen to shey tumi keno ato ochena hole - ayub bacchu by farah nazifa"
"5487","hmmm bolsila tumi"
"5488","k tumi???"
"5489","tmi atoh boring keno?"
"5490","tmi vlo acho to???plzz tweet ur updates, tc urself &amp; stay safely, darling"
"5491","fahmid zubair koi tmi???"
"5492","tomar relative kon a?"
"5493","hey dear,r u fine nah???tomar pa thik hoyeche toh??when r coming back??? this is only for u,u hotty"
"5494","amare dubaite tomar eto ayojon | | bangla movie son... via"
"5495","best chilo tomar konthey bolaa aii line"
"5496","awesome movie boss tomar acting just awesome i'am your biggest fan ankush da.....all the best movier jonno"
"5497","hmmm valoi. tmr?"
"5498","brainwash to r tomake amake na! even they admit people related to r hardest to brainwash. why?"
"5499","khub miss kori take j kono gurutto deyna amake khub mone pore take j sob somoy vule thakte chay amake khub..."
"5500","apnake kichu dise? amake ekta"
"5501","kono shohridoyban bekti amake bangla move dakhaite nie jete chaile inbox e chillaiben. dhonnobad :p"
"5502",", tmk , tmy ,tmk miss but 2mi"
"5503","ar kono katha na bole aro kache aay na tui chole eka thaka jay na sohoje emon hole... ..."
"5504","tui oirokom mal a akber je tor deher saad pay se ber ber a khaite chay kisu korar nai dhon khara hoa jay tore dekle"
"5505",". tui ai kotha tweet a o charsos? :-!"
"5506","acer er showroom koi? chinos tui?"
"5507","i liked a video making of ""tui amar hero""- version 2.0"
"5508","peyesi je tore..mon jure sudhu tor bichoron by kisor: via"
"5509","ore ki olan banaili australian gavir moto magi tor olan er gham chete di olan duite duite"
"5510","lal dress a tore onk besi sexy lage pichon theke dore kamre tor blouse chire bogol er nich dia hat dia olan tipbo"
"5511","pith chete dibo jiv ber kore kuttar moto r dhon ta tor pond a dolbo jore jore sona"
"5512","khocha tor nipl dia khochai khochai sads gorom athalo rosh dia tor dudh vora"
"5513","nosta hoa nostami kori nosta magi tor sathe misty dudh a gola vijai gola sukai ase akdom norom pasar khaje dhon chepe vore asi"
"5514","eb2b_ecomm : why you need social media web traffic if you want to create a reliable web tr"
"5515","ami r kichu bolbo na,,,, sir stay well. stay happy because your happiness means the world to me..."
"5516","sir, ami 2years er jonno twitter leave korchi. tobe sir, amr cholejabar aage tomy 1ta request tomi amr jonno pr"
"5517","ami jnoo abar smile niye 2years por back pari. sir, tomi ai tweet ta dekle amr jonno just 1bar pray koro."
"5518","ami jnoo abar smile niye 2years por back pari. sir, tomi ai tweet ta dekle amr jonno just 1bar pray koro. taholei hobe..."
"5519","sir, ami 2years er jonno twitter leave korchi. tobe sir, amr cholejabar aage tomy 1ta request tomi amr jonno pray koro,"
"5520","kisu akta hariye fellan.allah tumi sobai k sob kisu sojjo korar towfik daw"
"5521","again tui khocha dili!!"
"5522","gaan friendz - ki gaabi tui!"
"5523","koi tui?ekta kotha ache joldi aai"
"5524","ki bolcis ki dada....??? tui ki kheya ashecis naki bashay giye khabi...???? :d :d :d"
"5525","bhag shoytan bhai hoi o tor"
"5526","ar tor mukher kotha toh bollam e nah hati dhuke jabe tor mukhe easily"
"5527","bojho oi somay keu jete pare dur thke... ami khardah thaki so chp hbe. anyway pln ta koro"
"5528","accha era ki indian, amader desh jadi eder ato apachando tobe era kashmir chere pakisthan a chole jak. ami bujhte..."
"5529","tor tweet ta dekhe to ami"
"5530","tmra to khb mja pete dev k khrp blle.prle ami seta prbona !!!"
"5531","ami kno post krini,just korlam.check"
"5532","didi apner doler kichu log ache jara r bodnam korche ami chai apni er jothapojukto babostha nin."
"5533","tumi sudhu amar atuku kore daw. jate ami tana 1din a 300 ero beshi tweet pari!"
"5534","hey guys!! 2mra kon ta dkla?? ami to"
"5535","chalo ami jai tahole ekhn , tata and take care kintu tq"
"5536","ami jabo"
"5537","amar bela je jay sanjh bela te tomar sure sure shur melate"
"5538","retweet if u love"
"5539","u r too gd amarwa"
"5540","during airlift, only 1 holiday it got. n coll was 17cr. without holiday it wud hv 10. so not much difference"
"5541","fact is fact. he is enjoying his stardom even though he is giving huge number of craps"
"5542","content se ghanta hota hain..bodyguard,dabangg series, ready, kick, prdp,etc ne content tge kya?"
"5543","patiala house -_-"
"5544","kyun mai jagoon ... fantastic song"
"5545","ha par hit toh na hua an . content is d king. that's my point. koi bhi external advantage can't mk a film hit"
"5546","wo bhi achi thi. patiala house bhi achi thi"
"5547","galti hogayi amar koko. maaf kar dey -_-"
"5548","hmm"
"5549","haa se to boteiki jataa obostha amar akhon!!kono painkiller o kaj korchena!!!"
"5550","ok. bt u hv to gv credit to the content for its extraordinary business"
"5551","hmmm... 4g jmn smooth temni khoroch... amar 2g-e best but majhe majher jonno 3g bhalo. amr sim ta mone hoy palte 3g sim nite hbe cz"
"5552","amr o same obostha onk dur ota. 1st show to kno vbei hbe na.."
"5553","12 mas shordi amr ekta doc bole dust allergy arekjon bole naker channel beka arkjon bole tissue blockedbabar osudhe sob theek"
"5554","tmr kto time ..k ki tweet fav krche tao dekho.jeet da r 7e amr kno prblm nei .keu jdi jeet k khrp ble wht can i do"
"5555",": tumi je pic ta post korecho mohenjodaro poster er ota kothakar?"
"5556","se jai hok doesn't matter , tumi bolo lunch korle 2 to beje geche to ?"
"5557","hello tumi ki jano ur all movie amer laptop e bonde. . now again i to see waiting for zicooo"
"5558","vai tomar cover page a ke meya ta?"
"5559","oh.tomar night dti bor lage na?"
"5560","tey tmr actng darun lgche... meghla k ato kosto pete dkhe khrp lgche anurag-meghla k abr kobe 1sth a dkhbo?"
"5561","hiii di....kmn acho?amk to akhn r rly e koro na"
"5562","di tmk khbb swt lgche dkhte... lv u my misti divai"
"5563","ha tui dokane katha bolei tarpor sei bujhe sim change koris. :)"
"5564","sahil moho....tui na satti :d rl fans trying to instigate dem and dey gv it back lmao"
"5565","arghya bhai eta dhoirjjo dhore shon pls ami chollam bish kinte :3"
"5566","mir da tumi durgapur kobe ascho"
"5567","didi kemon a6o tumi??plz janiyo..."
"5568","plz jeno ei year ei hoye jay plz...eta amar sobtheke favourite show..plz"
"5569","wakin zaman ami ar tmi"
"5570","ami valobashi 720p (rajotto): via"
"5571","i liked a video ami bahu bashonaye- sahana bajpaie"
"5572","manush j eto ghura-ghuri kokhn kore, bujhtei pari na.............. ami o mone hoy ei eid e ek2 beshi e..."
"5573","ekhn toh mone hoitese ami e may b 3rd person silam....btw stay happy wid her.....may allah bless uh....cz r kisui bolar nai amr gd luck"
"5574","those clouds insta effect pc:ami.shams"
"5575","sundor ami tomar shathay mit chi"
"5576","ami cox's bazar jamu :'( looking for vacation"
"5577","ami miya potai ki korbo? :|"
"5578","kivabe chinbi twi,ami to dkhte e moto... . . omushder k maf korar khomota rekhe amak maf korish.. :3 ( )"
"5579","ami jani twi hobina r ager moton.ami jani twi hobbina r amar babun.ami jani twi korbina amay maf.ami jani twi..."
"5580","download o amar desher mati tomar eva rahman 14th album 3gp mp4 hd video -"
"5581","aj pelam. abbu to khub worried and upset amake nie. diabetics dhora porse fasting a e 10 ashche amar,..."
"5582","ek mutho prem jodi dao... ek prithibi sukh dibo... ei tuma k amar kora nibo... feeling loved"
"5583","tumi amar by bjoyroth via"
"5584","valobashi priyo tumi jeyo na chole.: via"
"5585","download bappa mazumder tuhin shironamhin tumi ki dekhecho kobhu 3gp mp4 hd video -"
"5586","hi i dii happy sunday tumi oneek din shudhu like diccho twts gulo i need you reply as well... u.."
"5587","vlo vay...tomar??"
"5588","apps bad diya manually agao....tomar majhe protiva dekhtesi"
"5589","ahare....tomar jonno kharap lagtese!"
"5590","chehra pura tomar moto... tera :o"
"5591","zawad nakib jd khobor ase tomar!"
"5592","aj epi te tmr acting just superb chilo...really so touchy.."
"5593","missing u...aj epi te tmr dekhai millo naaa..:/"
"5594","veja jol kajole . nirobe tomake dekhi seii adoreee .. my &lt;3"
"5595","byeeee ranggamati ..... tmk khub miss krbo ... sotti onnk sundor akta place .. ;-) traveling to cox's bazar, bangladesh"
"5596",", ............................. listening to ke tui bol - arijit singh"
"5597","haahah tor do"
"5598","peyesi je tore..sisir veja vore..mon jure sudhu tor bichoron by kisor.: via"
"5599","yooo kara kara bolta habib wahid live pare na :3 menon dekhsis mama tor boss :3 kapay dise ;)"
"5600","masti chota feeling crazy at post office road,middle badda,dhaka-1212"
"5601","thesocialms: breathe_tr rlatti nfl_cfl_news get our crazy value twitter cheat sheet for free"
"5602","bt aj jodi keow vule jay tobe ami r voy pabna.amake vule jabar kotha bolchi ami tho vule jabona"
"5603","ami bolchi j amr ajj bule jabar voy nei mane- keoe vule gele onek kosto hoy."
"5604","amar eid konorokom katche apu eid er dini road accident korci"
"5605","ami tomake flight status debo ki kore dada?"
"5606","ki kore sei seriousness ta anbo amar moddhe ami to bujhtei parchina , kaash tumi ektu help amay :("
"5607","se jai hok na keno , ami haal charbo na , amay je korei hok star hotei hobe tahole jadi tumi sedin amar sathe kotha bolo"
"5608","ossam muvie. jisshu da tomay darun legacha. looking so sweet. ami 2bar dakache."
"5609","na na jaini.achi bolo ?akhon ami free"
"5610","thank you ami sober kache valo hoye thakar e chesta korionek e kosto dey amay a to z .."
